"","x"
"449",1
"450",4
"451",4
"452",0
"453",0
"454",1
"455",0
"456",0
"457",4
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",4
"465",0
"466",4
"467",0
"468",0
"469",4
"470",1
"471",0
"472",1
"473",4
"474",0
"475",4
"476",1
"477",4
"478",4
"479",1
"480",4
"481",1
"482",0
"483",1
"484",4
"485",1
"486",1
"487",4
"488",0
"489",1
"490",4
"491",4
"492",0
"493",1
"494",4
"495",1
"496",0
"497",1
"498",4
"499",1
"500",1
"501",4
"502",1
"503",4
"504",4
"505",1
"506",4
"507",0
"508",1
"509",4
"510",0
"511",1
"512",4
"513",0
"514",1
"515",4
"516",1
"517",1
"518",1
"519",4
"520",0
"521",1
"522",1
"523",0
"524",1
"525",1
"526",0
"527",1
"528",1
"529",4
"530",0
"531",4
"532",1
"533",0
"534",1
"535",1
"536",1
"537",0
"538",0
"539",0
"540",0
"541",4
"542",0
"543",0
"544",0
"545",4
"546",4
"547",0
"548",1
"549",1
"550",0
"551",1
"552",1
"553",1
"554",1
"555",0
"556",1
"557",0
"558",4
"559",1
"560",1
"561",1
"562",4
"563",0
"564",4
"565",1
"566",0
"567",1
"568",0
"569",0
"570",4
"571",0
"572",1
"573",1
"574",1
"575",4
"576",0
"577",1
"578",1
"579",1
"580",0
"581",0
"582",0
"583",0
"584",0
"585",1
"586",1
"587",1
"588",0
"589",1
"590",0
"591",4
"592",0
"593",1
"594",1
"595",1
"596",1
"597",1
"598",1
"599",1
"600",1
"601",4
"602",0
"603",4
"604",1
"605",0
"606",1
"607",1
"608",0
"609",1
"610",1
"611",1
"612",0
"613",1
"614",1
"615",1
"616",1
"617",0
"618",1
"619",1
"620",4
"621",1
"622",0
"623",1
"624",0
"625",4
"626",0
"627",0
"628",1
"629",1
"630",1
"631",4
"632",0
"633",1
"634",1
"635",0
"636",1
"637",1
"638",1
"639",1
"640",0
"641",1
"642",0
"643",1
"644",1
"645",4
"646",0
"647",1
"648",1
"649",0
"650",1
"651",1
"652",1
"653",0
"654",1
"655",0
"656",1
"657",0
"658",0
"659",1
"660",1
"661",0
"662",4
"663",1
"664",0
"665",1
"666",1
"667",1
"668",0
"669",1
"670",0
"671",0
"672",0
"673",1
"674",0
"675",1
"676",1
"677",0
"678",1
"679",1
"680",0
"681",0
"682",1
"683",1
"684",0
"685",0
"686",1
"687",0
"688",0
"689",1
"690",0
"691",1
"692",0
"693",1
"694",1
"695",4
"696",0
"697",1
"698",0
"699",1
"700",1
"701",1
"702",0
"703",1
"704",0
"705",0
"706",1
"707",0
"708",0
"709",4
"710",0
"711",1
"712",0
"713",4
"714",0
"715",4
"716",0
"717",1
"718",0
"719",4
"720",0
"721",1
"722",0
"723",4
"724",1
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",1
"738",0
"739",1
"740",0
"741",0
"742",0
"743",0
"744",0
"745",0
"746",4
"747",0
"748",0
"749",4
"750",4
"751",0
"752",0
"753",4
"754",1
"755",1
"756",4
"757",0
"758",1
"759",4
"760",1
"761",0
"762",0
"763",4
"764",0
"765",4
"766",0
"767",1
"768",4
"769",0
"770",0
"771",0
"772",1
"773",0
"774",1
"775",0
"776",1
"777",0
"778",1
"779",4
"780",1
"781",0
"782",1
"783",1
"784",0
"785",4
"786",1
"787",1
"788",0
"789",1
"790",1
"791",1
"792",0
"793",1
"794",1
"795",0
"796",4
"797",1
"798",1
"799",0
"800",1
"801",1
"802",1
"803",1
"804",1
"805",0
"806",1
"807",1
"808",1
"809",0
"810",1
"811",1
"812",1
"813",1
"814",0
"815",4
"816",1
"817",1
"818",4
"819",1
"820",1
"821",4
"822",1
"823",1
"824",0
"825",1
"826",1
"827",0
"828",0
"829",1
"830",1
"831",0
"832",1
"833",1
"834",0
"835",1
"836",1
"837",0
"838",1
"839",1
"840",0
"841",1
"842",1
"843",0
"844",1
"845",0
"846",1
"847",0
"848",1
"849",0
"850",1
"851",0
"852",1
"853",1
"854",0
"855",1
"856",0
"857",1
"858",0
"859",1
"860",1
"861",1
"862",0
"863",0
"864",1
"865",1
"866",0
"867",0
"868",0
"869",1
"870",0
"871",0
"872",0
"873",1
"874",0
"875",1
"876",0
"877",0
"878",0
"879",1
"880",1
"881",1
"882",1
"883",1
"884",1
"885",1
"886",1
"887",1
"888",4
"889",4
"890",1
"891",1
"892",1
"893",4
"894",4
"895",4
"896",0
"897",0
"898",0
"899",4
"900",0
"901",1
"902",4
"903",4
"904",1
"905",4
"906",1
"907",0
"908",0
"909",0
"910",0
"911",0
"912",0
"913",0
"914",1
"915",0
"916",4
"917",4
"918",0
"919",1
"920",0
"921",4
"922",0
"923",0
"924",1
"925",0
"926",0
"927",4
"928",0
"929",0
"930",0
"931",0
"932",1
"933",0
"934",0
"935",0
"936",0
"937",0
"938",1
"939",0
"940",0
"941",0
"942",0
"943",1
"944",0
"945",0
"946",0
"947",0
"948",0
"949",0
"950",0
"951",0
"952",1
"953",0
"954",0
"955",0
"956",1
"957",1
"958",1
"959",4
"960",1
"961",1
"962",1
"963",1
"964",0
"965",1
"966",1
"967",1
"968",4
"969",1
"970",0
"971",1
"972",0
"973",0
"974",0
"975",1
"976",1
"977",0
"978",1
"979",0
"980",1
"981",0
"982",4
"983",0
"984",1
"985",1
"986",0
"987",4
"988",1
"989",0
"990",0
"991",0
"992",1
"993",1
"994",1
"995",1
"996",0
"997",4
"998",0
"999",1
"1000",4
"1001",0
"1002",4
"1003",4
"1004",1
"1005",4
"1006",0
"1007",1
"1008",4
"1009",1
"1010",0
"1011",1
"1012",1
"1013",0
"1014",1
"1015",0
"1016",4
"1017",0
"1018",1
"1019",0
"1020",1
"1021",1
"1022",4
"1023",0
"1024",4
"1025",0
"1026",0
"1027",0
"1028",4
"1029",1
"1030",1
"1031",1
"1032",4
"1033",1
"1034",0
"1035",1
"1036",4
"1037",0
"1038",4
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",1
"1045",0
"1046",0
"1047",0
"1048",1
"1049",4
"1050",0
"1051",0
"1052",0
"1053",1
"1054",0
"1055",0
"1056",0
"1057",1
"1058",1
"1059",4
"1060",1
"1061",0
"1062",1
"1063",1
"1064",1
"1065",0
"1066",4
"1067",1
"1068",1
"1069",0
"1070",4
"1071",4
"1072",1
"1073",1
"1074",1
"1075",4
"1076",0
"1077",1
"1078",1
"1079",0
"1080",0
"1081",1
"1082",0
"1083",4
"1084",1
"1085",1
"1086",1
"1087",0
"1088",1
"1089",1
"1090",0
"1091",1
"1092",1
"1093",4
"1094",0
"1095",1
"1096",1
"1097",4
"1098",0
"1099",0
"1100",0
"1101",1
"1102",1
"1103",0
"1104",4
"1105",1
"1106",4
"1107",0
"1108",4
"1109",0
"1110",1
"1111",4
"1112",0
"1113",1
"1114",4
"1115",0
"1116",0
"1117",1
"1118",4
"1119",1
"1120",0
"1121",1
"1122",4
"1123",0
"1124",4
"1125",1
"1126",1
"1127",1
"1128",1
"1129",0
"1130",4
"1131",1
"1132",0
"1133",1
"1134",1
"1135",4
"1136",1
"1137",0
"1138",0
"1139",0
"1140",0
"1141",0
"1142",4
"1143",0
"1144",4
"1145",1
"1146",4
"1147",1
"1148",1
"1149",4
"1150",1
"1151",1
"1152",4
"1153",4
"1154",1
"1155",4
"1156",1
"1157",4
"1158",4
"1159",0
"1160",1
"1161",0
"1162",1
"1163",4
"1164",1
"1165",1
"1166",0
"1167",0
"1168",1
"1169",0
"1170",1
"1171",1
"1172",0
"1173",0
"1174",0
"1175",0
"1176",1
"1177",1
"1178",0
"1179",1
"1180",0
"1181",0
"1182",1
"1183",1
"1184",4
"1185",0
"1186",0
"1187",1
"1188",1
"1189",0
"1190",1
"1191",0
"1192",0
"1193",0
"1194",0
"1195",1
"1196",4
"1197",0
"1198",0
"1199",4
"1200",0
"1201",0
"1202",0
"1203",4
"1204",4
"1205",0
"1206",4
"1207",4
"1208",0
"1209",0
"1210",4
"1211",1
"1212",4
"1213",0
"1214",1
"1215",0
"1216",4
"1217",4
"1218",4
"1219",0
"1220",4
"1221",0
"1222",4
"1223",1
"1224",4
"1225",0
"1226",1
"1227",4
"1228",0
"1229",1
"1230",4
"1231",4
"1232",4
"1233",0
"1234",1
"1235",4
"1236",4
"1237",4
"1238",4
"1239",0
"1240",4
"1241",4
"1242",1
"1243",4
"1244",0
"1245",4
"1246",0
"1247",0
"1248",1
"1249",4
"1250",4
"1251",0
"1252",4
"1253",1
"1254",4
"1255",0
"1256",0
"1257",1
"1258",0
"1259",4
"1260",1
"1261",4
"1262",1
"1263",0
"1264",4
"1265",4
"1266",4
"1267",0
"1268",4
"1269",4
"1270",1
"1271",1
"1272",4
"1273",1
"1274",1
"1275",4
"1276",0
"1277",4
"1278",1
"1279",1
"1280",4
"1281",0
"1282",4
"1283",1
"1284",0
"1285",0
"1286",0
"1287",1
"1288",1
"1289",4
"1290",4
"1291",4
"1292",1
"1293",4
"1294",0
"1295",4
"1296",4
"1297",1
"1298",4
"1299",4
"1300",1
"1301",4
"1302",1
"1303",0
"1304",0
"1305",0
"1306",0
"1307",0
"1308",0
"1309",0
"1310",1
"1311",4
"1312",1
"1313",0
"1314",1
"1315",4
"1316",1
"1317",4
"1318",4
"1319",1
"1320",0
"1321",4
"1322",1
"1323",1
"1324",0
"1325",4
"1326",4
"1327",1
"1328",1
"1329",0
"1330",0
"1331",1
"1332",0
"1333",4
"1334",0
"1335",0
"1336",1
"1337",1
"1338",0
"1339",0
"1340",1
"1341",1
"1342",0
"1343",0
"1344",1
"1345",4
"1346",0
"1347",0
"1348",0
"1349",0
"1350",0
"1351",1
"1352",0
"1353",4
"1354",0
"1355",1
"1356",0
"1357",1
"1358",4
"1359",0
"1360",0
"1361",0
"1362",1
"1363",1
"1364",0
"1365",1
"1366",0
"1367",0
"1368",4
"1369",4
"1370",0
"1371",4
"1372",0
"1373",1
"1374",1
"1375",0
"1376",1
"1377",0
"1378",0
"1379",0
"1380",1
"1381",1
"1382",1
"1383",1
"1384",0
"1385",0
"1386",1
"1387",0
"1388",1
"1389",0
"1390",4
"1391",0
"1392",1
"1393",1
"1394",0
"1395",1
"1396",0
"1397",1
"1398",1
"1399",1
"1400",4
"1401",1
"1402",0
"1403",0
"1404",0
"1405",1
"1406",4
"1407",1
"1408",0
"1409",1
"1410",1
"1411",1
"1412",4
"1413",4
"1414",0
"1415",4
"1416",1
"1417",4
"1418",0
"1419",0
"1420",0
"1421",1
"1422",4
"1423",0
"1424",0
"1425",1
"1426",0
"1427",4
"1428",0
"1429",1
"1430",4
"1431",0
"1432",1
"1433",1
"1434",0
"1435",0
"1436",4
"1437",4
"1438",0
"1439",1
"1440",1
"1441",0
"1442",1
"1443",1
"1444",1
"1445",1
"1446",1
"1447",1
"1448",1
"1449",1
"1450",1
"1451",4
"1452",1
"1453",4
"1454",1
"1455",1
"1456",0
"1457",4
"1458",0
"1459",0
"1460",1
"1461",4
"1462",1
"1463",1
"1464",4
"1465",1
"1466",4
"1467",1
"1468",1
"1469",4
"1470",4
"1471",1
"1472",1
"1473",1
"1474",4
"1475",1
"1476",0
"1477",0
"1478",0
"1479",1
"1480",1
"1481",1
"1482",0
"1483",1
"1484",0
"1485",0
"1486",0
"1487",4
"1488",0
"1489",1
"1490",4
"1491",1
"1492",0
"1493",0
"1494",0
"1495",0
"1496",1
"1497",0
"1498",4
"1499",1
"1500",0
"1501",1
"1502",0
"1503",1
"1504",0
"1505",0
"1506",0
"1507",4
"1508",1
"1509",1
"1510",4
"1511",0
"1512",0
"1513",4
"1514",0
"1515",0
"1516",4
"1517",0
"1518",4
"1519",0
"1520",4
"1521",4
"1522",1
"1523",4
"1524",0
"1525",4
"1526",0
"1527",4
"1528",1
"1529",4
"1530",1
"1531",4
"1532",1
"1533",1
"1534",4
"1535",0
"1536",0
"1537",4
"1538",4
"1539",1
"1540",1
"1541",4
"1542",4
"1543",0
"1544",4
"1545",4
"1546",0
"1547",1
"1548",0
"1549",0
"1550",1
"1551",0
"1552",0
"1553",0
"1554",0
"1555",4
"1556",0
"1557",1
"1558",1
"1559",4
"1560",0
"1561",0
"1562",4
"1563",1
"1564",4
"1565",1
"1566",1
"1567",0
"1568",0
"1569",4
"1570",1
"1571",0
"1572",0
"1573",1
"1574",0
"1575",0
"1576",0
"1577",1
"1578",0
"1579",1
"1580",0
"1581",0
"1582",1
"1583",1
"1584",0
"1585",0
"1586",1
"1587",1
"1588",0
"1589",1
"1590",0
"1591",0
"1592",0
"1593",4
"1594",4
"1595",1
"1596",4
"1597",1
"1598",0
"1599",4
"1600",0
"1601",4
"1602",4
"1603",4
"1604",0
"1605",1
"1606",4
"1607",0
"1608",4
"1609",0
"1610",4
"1611",1
"1612",0
"1613",4
"1614",4
"1615",1
"1616",0
"1617",0
"1618",4
"1619",4
"1620",1
"1621",0
"1622",4
"1623",4
"1624",4
"1625",1
"1626",0
"1627",0
"1628",1
"1629",0
"1630",4
"1631",0
"1632",4
"1633",4
"1634",1
"1635",1
"1636",0
"1637",0
"1638",4
"1639",0
"1640",0
"1641",4
"1642",1
"1643",4
"1644",0
"1645",4
"1646",0
"1647",1
"1648",0
"1649",0
"1650",4
"1651",4
"1652",1
"1653",4
"1654",1
"1655",4
"1656",4
"1657",0
"1658",0
"1659",0
"1660",1
"1661",0
"1662",0
"1663",0
"1664",0
"1665",4
"1666",4
"1667",0
"1668",0
"1669",0
"1670",1
"1671",4
"1672",4
"1673",1
"1674",0
"1675",4
"1676",0
"1677",4
"1678",0
"1679",4
"1680",4
"1681",1
"1682",0
"1683",0
"1684",0
"1685",1
"1686",1
"1687",0
"1688",4
"1689",1
"1690",0
"1691",0
"1692",1
"1693",4
"1694",0
"1695",4
"1696",1
"1697",1
"1698",1
"1699",1
"1700",1
"1701",0
"1702",1
"1703",0
"1704",0
"1705",0
"1706",0
"1707",4
"1708",0
"1709",4
"1710",1
"1711",1
"1712",4
"1713",0
"1714",0
"1715",0
"1716",1
"1717",4
"1718",0
"1719",1
"1720",1
"1721",4
"1722",1
"1723",4
"1724",0
"1725",0
"1726",0
"1727",4
"1728",4
"1729",1
"1730",0
"1731",4
"1732",0
"1733",4
"1734",4
"1735",0
"1736",0
"1737",0
"1738",0
"1739",4
"1740",4
"1741",1
"1742",1
"1743",0
"1744",1
"1745",4
"1746",0
"1747",0
"1748",4
"1749",4
"1750",4
"1751",0
"1752",0
"1753",0
"1754",4
"1755",0
"1756",0
"1757",4
"1758",4
"1759",1
"1760",0
"1761",0
"1762",1
"1763",1
"1764",4
"1765",4
"1766",1
"1767",1
"1768",0
"1769",1
"1770",4
"1771",4
"1772",4
"1773",0
"1774",4
"1775",0
"1776",0
"1777",1
"1778",1
"1779",0
"1780",0
"1781",1
"1782",0
"1783",0
"1784",0
"1785",0
"1786",0
"1787",0
"1788",4
"1789",0
"1790",4
"1791",4
"1792",0
"1793",1
"1794",0
"1795",0
"1796",0
"1797",0
"1798",0
"1799",4
"1800",0
"1801",4
"1802",4
"1803",1
"1804",4
"1805",4
"1806",1
"1807",0
"1808",0
"1809",0
"1810",1
"1811",0
"1812",1
"1813",0
"1814",4
"1815",1
"1816",4
"1817",4
"1818",0
"1819",0
"1820",1
"1821",4
"1822",4
"1823",0
"1824",0
"1825",4
"1826",4
"1827",1
"1828",4
"1829",0
"1830",1
"1831",0
"1832",4
"1833",1
"1834",4
"1835",4
"1836",0
"1837",0
"1838",0
"1839",0
"1840",0
"1841",1
"1842",0
"1843",1
"1844",0
"1845",4
"1846",4
"1847",1
"1848",0
"1849",1
"1850",4
"1851",1
"1852",0
"1853",0
"1854",4
"1855",0
"1856",0
"1857",0
"1858",0
"1859",4
"1860",0
"1861",4
"1862",0
"1863",1
"1864",0
"1865",0
"1866",0
"1867",0
"1868",0
"1869",0
"1870",0
"1871",1
"1872",0
"1873",4
"1874",1
"1875",4
"1876",1
"1877",0
"1878",0
"1879",0
"1880",0
"1881",1
"1882",1
"1883",4
"1884",0
"1885",4
"1886",0
"1887",1
"1888",4
"1889",0
"1890",1
"1891",0
"1892",0
"1893",0
"1894",4
"1895",4
"1896",0
"1897",4
"1898",1
"1899",0
"1900",1
"1901",0
"1902",0
"1903",1
"1904",0
"1905",1
"1906",4
"1907",4
"1908",0
"1909",0
"1910",4
"1911",4
"1912",4
"1913",0
"1914",0
"1915",4
"1916",0
"1917",0
"1918",1
"1919",0
"1920",0
"1921",1
"1922",0
"1923",0
"1924",4
"1925",0
"1926",0
"1927",4
"1928",4
"1929",4
"1930",0
"1931",1
"1932",4
"1933",0
"1934",0
"1935",1
"1936",1
"1937",4
"1938",4
"1939",1
"1940",0
"1941",1
"1942",4
"1943",0
"1944",0
"1945",0
"1946",1
"1947",4
"1948",1
"1949",4
"1950",1
"1951",4
"1952",4
"1953",4
"1954",0
"1955",1
"1956",1
"1957",4
"1958",0
"1959",1
"1960",4
"1961",4
"1962",1
"1963",1
"1964",1
"1965",0
"1966",0
"1967",1
"1968",1
"1969",0
"1970",0
"1971",0
"1972",0
"1973",0
"1974",1
"1975",1
"1976",1
"1977",1
"1978",1
"1979",0
"1980",0
"1981",4
"1982",4
"1983",4
"1984",4
"1985",4
"1986",1
"1987",1
"1988",4
"1989",0
"1990",1
"1991",1
"1992",4
"1993",4
"1994",0
"1995",1
"1996",0
"1997",0
"1998",0
"1999",4
"2000",1
"2001",0
"2002",0
"2003",4
"2004",1
"2005",0
"2006",0
"2007",1
"2008",4
"2009",1
"2010",4
"2011",1
"2012",0
"2013",1
"2014",4
"2015",4
"2016",0
"2017",1
"2018",1
"2019",1
"2020",0
"2021",0
"2022",1
"2023",0
"2024",4
"2025",0
"2026",0
"2027",1
"2028",0
"2029",1
"2030",4
"2031",0
"2032",0
"2033",4
"2034",4
"2035",0
"2036",1
"2037",4
"2038",4
"2039",0
"2040",0
"2041",0
"2042",1
"2043",1
"2044",4
"2045",1
"2046",0
"2047",0
"2048",1
"2049",1
"2050",4
"2051",0
"2052",0
"2053",0
"2054",4
"2055",0
"2056",4
"2057",0
"2058",4
"2059",4
"2060",0
"2061",1
"2062",1
"2063",4
"2064",1
"2065",4
"2066",4
"2067",1
"2068",4
"2069",4
"2070",0
"2071",1
"2072",4
"2073",4
"2074",4
"2075",4
"2076",1
"2077",4
"2078",4
"2079",1
"2080",0
"2081",0
"2082",4
"2083",4
"2084",1
"2085",0
"2086",1
"2087",0
"2088",1
"2089",0
"2090",0
"2091",4
"2092",4
"2093",1
"2094",0
"2095",1
"2096",1
"2097",0
"2098",1
"2099",0
"2100",4
"2101",4
"2102",1
"2103",1
"2104",1
"2105",0
"2106",1
"2107",1
"2108",4
"2109",0
"2110",0
"2111",0
"2112",4
"2113",1
"2114",0
"2115",0
"2116",4
"2117",4
"2118",4
"2119",1
"2120",1
"2121",0
"2122",1
"2123",0
"2124",1
"2125",0
"2126",0
"2127",4
"2128",1
"2129",0
"2130",0
"2131",0
"2132",1
"2133",1
"2134",1
"2135",4
"2136",1
"2137",0
"2138",4
"2139",1
"2140",0
"2141",4
"2142",0
"2143",1
"2144",1
"2145",1
"2146",4
"2147",1
"2148",0
"2149",4
"2150",1
"2151",4
"2152",4
"2153",1
"2154",0
"2155",0
"2156",1
"2157",4
"2158",1
"2159",1
"2160",1
"2161",1
"2162",1
"2163",4
"2164",1
"2165",1
"2166",4
"2167",1
"2168",1
"2169",4
"2170",1
"2171",1
"2172",1
"2173",4
"2174",1
"2175",4
"2176",1
"2177",4
"2178",1
"2179",4
"2180",1
"2181",4
"2182",1
"2183",4
"2184",4
"2185",0
"2186",1
"2187",4
"2188",1
"2189",1
"2190",4
"2191",0
"2192",1
"2193",4
"2194",0
"2195",0
"2196",0
"2197",1
"2198",4
"2199",1
"2200",1
"2201",4
"2202",1
"2203",4
"2204",1
"2205",4
"2206",1
"2207",1
"2208",4
"2209",1
"2210",4
"2211",1
"2212",4
"2213",1
"2214",4
"2215",4
"2216",1
"2217",4
"2218",4
"2219",4
"2220",0
"2221",0
"2222",0
"2223",0
"2224",1
"2225",4
"2226",0
"2227",1
"2228",0
"2229",1
"2230",0
"2231",0
"2232",1
"2233",0
"2234",0
"2235",0
"2236",0
"2237",0
"2238",0
"2239",0
"2240",0
"2241",4
"2242",4
"2243",1
"2244",1
"2245",4
"2246",1
"2247",0
"2248",1
"2249",1
"2250",0
"2251",0
"2252",0
"2253",4
"2254",1
"2255",0
"2256",0
"2257",0
"2258",4
"2259",0
"2260",0
"2261",0
"2262",1
"2263",1
"2264",4
"2265",0
"2266",4
"2267",0
"2268",0
"2269",4
"2270",1
"2271",4
"2272",1
"2273",0
"2274",1
"2275",1
"2276",0
"2277",4
"2278",0
"2279",1
"2280",1
"2281",1
"2282",0
"2283",1
"2284",1
"2285",4
"2286",1
"2287",1
"2288",0
"2289",0
"2290",0
"2291",0
"2292",0
"2293",1
"2294",1
"2295",1
"2296",0
"2297",4
"2298",1
"2299",0
"2300",1
"2301",1
"2302",0
"2303",1
"2304",0
"2305",4
"2306",1
"2307",1
"2308",1
"2309",0
"2310",0
"2311",4
"2312",0
"2313",1
"2314",0
"2315",1
"2316",1
"2317",0
"2318",1
"2319",0
"2320",4
"2321",4
"2322",4
"2323",4
"2324",0
"2325",1
"2326",4
"2327",4
"2328",1
"2329",0
"2330",4
"2331",4
"2332",1
"2333",0
"2334",4
"2335",1
"2336",4
"2337",1
"2338",0
"2339",0
"2340",0
"2341",1
"2342",1
"2343",1
"2344",1
"2345",0
"2346",4
"2347",1
"2348",1
"2349",1
"2350",0
"2351",0
"2352",4
"2353",1
"2354",4
"2355",1
"2356",0
"2357",4
"2358",4
"2359",0
"2360",4
"2361",0
"2362",0
"2363",0
"2364",4
"2365",4
"2366",1
"2367",4
"2368",1
"2369",4
"2370",1
"2371",1
"2372",1
"2373",1
"2374",0
"2375",0
"2376",1
"2377",1
"2378",4
"2379",0
"2380",0
"2381",1
"2382",0
"2383",0
"2384",0
"2385",0
"2386",4
"2387",0
"2388",0
"2389",0
"2390",0
"2391",0
"2392",1
"2393",4
"2394",1
"2395",0
"2396",0
"2397",4
"2398",1
"2399",0
"2400",0
"2401",0
"2402",1
"2403",4
"2404",4
"2405",1
"2406",0
"2407",4
"2408",4
"2409",1
"2410",1
"2411",0
"2412",4
"2413",4
"2414",1
"2415",0
"2416",4
"2417",4
"2418",1
"2419",1
"2420",0
"2421",1
"2422",0
"2423",1
"2424",4
"2425",4
"2426",0
"2427",0
"2428",0
"2429",0
"2430",0
"2431",0
"2432",0
"2433",0
"2434",4
"2435",1
"2436",4
"2437",0
"2438",1
"2439",4
"2440",0
"2441",1
"2442",0
"2443",0
"2444",0
"2445",1
"2446",4
"2447",1
"2448",1
"2449",4
"2450",1
"2451",1
"2452",0
"2453",0
"2454",4
"2455",0
"2456",1
"2457",1
"2458",0
"2459",0
"2460",0
"2461",1
"2462",0
"2463",1
"2464",0
"2465",0
"2466",1
"2467",4
"2468",0
"2469",1
"2470",0
"2471",4
"2472",0
"2473",1
"2474",0
"2475",4
"2476",1
"2477",0
"2478",0
"2479",1
"2480",0
"2481",1
"2482",1
"2483",0
"2484",1
"2485",0
"2486",1
"2487",1
"2488",0
"2489",1
"2490",1
"2491",0
"2492",1
"2493",1
"2494",0
"2495",0
"2496",0
"2497",0
"2498",1
